net,length_um
gpio\[32\].gpio_I.pad_in,3.46132mm
gpio\[47\].gpio_I.pad_in,3.44233mm
gpio\[0\].gpio_I.pad_in,3.44099mm
gpio\[15\].gpio_I.pad_out,3.439525mm
gpio\[32\].gpio_I.pad_oe,3.42383mm
gpio\[32\].gpio_I.pad_out,3.42174mm
gpio\[48\].gpio_I.pad_in,3.40132mm
gpio\[33\].gpio_I.pad_in,3.2802mm
gpio\[46\].gpio_I.pad_in,3.25929mm
gpio\[1\].gpio_I.pad_in,3.25795mm
gpio\[14\].gpio_I.pad_out,3.256485mm
gpio\[33\].gpio_I.pad_oe,3.24271mm
gpio\[33\].gpio_I.pad_out,3.24062mm
gpio\[49\].gpio_I.pad_in,3.12836mm
gpio\[34\].gpio_I.pad_in,3.09908mm
gpio\[45\].gpio_I.pad_in,3.07625mm
gpio\[2\].gpio_I.pad_in,3.07491mm
gpio\[13\].gpio_I.pad_out,3.073445mm
gpio\[34\].gpio_I.pad_oe,3.06159mm
gpio\[34\].gpio_I.pad_out,3.0595mm
gpio\[35\].gpio_I.pad_in,2.91796mm
gpio\[44\].gpio_I.pad_in,2.89321mm
gpio\[12\].gpio_I.pad_out,2.890405mm
gpio\[35\].gpio_I.pad_oe,2.88047mm
gpio\[35\].gpio_I.pad_out,2.87838mm
gpio\[36\].gpio_I.pad_in,2.73684mm
gpio\[43\].gpio_I.pad_in,2.71017mm
gpio\[11\].gpio_I.pad_out,2.707365mm
gpio\[36\].gpio_I.pad_oe,2.69935mm
gpio\[36\].gpio_I.pad_out,2.69726mm
gpio\[37\].gpio_I.pad_out,2.57566mm
gpio\[37\].gpio_I.pad_in,2.55572mm
gpio\[42\].gpio_I.pad_in,2.52713mm
gpio\[10\].gpio_I.pad_out,2.524325mm
gpio\[37\].gpio_I.pad_oe,2.51823mm
gpio\[38\].gpio_I.pad_in,2.43412mm
gpio\[38\].gpio_I.pad_oe,2.39663mm
gpio\[38\].gpio_I.pad_out,2.39454mm
gpio\[41\].gpio_I.pad_in,2.34409mm
gpio\[9\].gpio_I.pad_out,2.341285mm
gpio\[39\].gpio_I.pad_in,2.253mm
gpio\[8\].gpio_I.pad_out,2.227845mm
gpio\[39\].gpio_I.pad_oe,2.21551mm
gpio\[39\].gpio_I.pad_out,2.21342mm
top_I.branch\[13\].check_mask.l_spine_iw\[0\],2.17868mm
top_I.branch\[13\].check_mask.l_spine_iw\[1\],2.17856mm
top_I.branch\[13\].check_mask.l_spine_iw\[2\],2.17844mm
top_I.branch\[13\].check_mask.l_spine_iw\[3\],2.17832mm
