Instance,Terminal,Layer,X location,Y location,Voltage
IO_BOND_gpio\[63\].gpio_I.genblk1.genblk1.pad_I,pad,Metal1,105.0000,460.0000,1.200000
IO_BOND_gpio\[29\].gpio_I.genblk1.genblk1.pad_I,pad,Metal1,3495.0000,3996.0000,1.200000
IO_CORNER_SOUTH_WEST_INST,vdd,Metal1,306.3990,306.3990,1.199999
IO_CORNER_SOUTH_EAST_INST,vdd,Metal1,3293.6000,306.3990,1.199998
IO_CORNER_NORTH_EAST_INST,vdd,Metal1,3293.6000,4693.6000,1.199990
IO_CORNER_NORTH_WEST_INST,vdd,Metal1,306.3990,4693.6000,1.199987
IO_FILL_IO_WEST_16_50,vdd,Metal1,293.7250,4655.0000,1.199988
IO_FILL_IO_WEST_15_170,vdd,Metal1,293.7250,4488.0000,1.199990
IO_FILL_IO_WEST_15_150,vdd,Metal1,293.7250,4468.0000,1.199990
IO_FILL_IO_WEST_15_100,vdd,Metal1,293.7250,4433.0000,1.199990
IO_FILL_IO_WEST_15_50,vdd,Metal1,293.7250,4383.0000,1.199991
IO_FILL_IO_WEST_14_170,vdd,Metal1,293.7250,4216.0000,1.199992
IO_FILL_IO_WEST_14_150,vdd,Metal1,293.7250,4196.0000,1.199992
IO_FILL_IO_WEST_14_100,vdd,Metal1,293.7250,4161.0000,1.199992
IO_FILL_IO_WEST_14_50,vdd,Metal1,293.7250,4111.0000,1.199993
IO_FILL_IO_WEST_13_170,vdd,Metal1,293.7250,3944.0000,1.199993
IO_FILL_IO_WEST_13_150,vdd,Metal1,293.7250,3924.0000,1.199994
IO_FILL_IO_WEST_13_100,vdd,Metal1,293.7250,3889.0000,1.199994
IO_FILL_IO_WEST_13_50,vdd,Metal1,293.7250,3839.0000,1.199994
IO_FILL_IO_WEST_12_170,vdd,Metal1,293.7250,3672.0000,1.199995
IO_FILL_IO_WEST_12_150,vdd,Metal1,293.7250,3652.0000,1.199995
IO_FILL_IO_WEST_12_100,vdd,Metal1,293.7250,3617.0000,1.199995
IO_FILL_IO_WEST_12_50,vdd,Metal1,293.7250,3567.0000,1.199995
IO_FILL_IO_WEST_11_170,vdd,Metal1,293.7250,3400.0000,1.199995
IO_FILL_IO_WEST_11_150,vdd,Metal1,293.7250,3380.0000,1.199995
IO_FILL_IO_WEST_11_100,vdd,Metal1,293.7250,3345.0000,1.199996
IO_FILL_IO_WEST_11_50,vdd,Metal1,293.7250,3295.0000,1.199996
IO_FILL_IO_WEST_10_170,vdd,Metal1,293.7250,3128.0000,1.199996
IO_FILL_IO_WEST_10_150,vdd,Metal1,293.7250,3108.0000,1.199996
IO_FILL_IO_WEST_10_100,vdd,Metal1,293.7250,3073.0000,1.199996
IO_FILL_IO_WEST_10_50,vdd,Metal1,293.7250,3023.0000,1.199996
IO_FILL_IO_WEST_9_170,vdd,Metal1,293.7250,2856.0000,1.199996
IO_FILL_IO_WEST_9_150,vdd,Metal1,293.7250,2836.0000,1.199996
IO_FILL_IO_WEST_9_100,vdd,Metal1,293.7250,2801.0000,1.199997
IO_FILL_IO_WEST_9_50,vdd,Metal1,293.7250,2751.0000,1.199997
IO_FILL_IO_WEST_8_170,vdd,Metal1,293.7250,2584.0000,1.199997
IO_FILL_IO_WEST_8_150,vdd,Metal1,293.7250,2564.0000,1.199997
IO_FILL_IO_WEST_8_100,vdd,Metal1,293.7250,2529.0000,1.199997
IO_FILL_IO_WEST_8_50,vdd,Metal1,293.7250,2479.0000,1.199997
IO_FILL_IO_WEST_7_170,vdd,Metal1,293.7250,2312.0000,1.199997
IO_FILL_IO_WEST_7_150,vdd,Metal1,293.7250,2292.0000,1.199997
IO_FILL_IO_WEST_7_100,vdd,Metal1,293.7250,2257.0000,1.199997
IO_FILL_IO_WEST_7_50,vdd,Metal1,293.7250,2207.0000,1.199997
IO_FILL_IO_WEST_6_170,vdd,Metal1,293.7250,2040.0000,1.199997
IO_FILL_IO_WEST_6_150,vdd,Metal1,293.7250,2020.0000,1.199997
IO_FILL_IO_WEST_6_100,vdd,Metal1,293.7250,1985.0000,1.199998
IO_FILL_IO_WEST_6_50,vdd,Metal1,293.7250,1935.0000,1.199998
IO_FILL_IO_WEST_5_170,vdd,Metal1,293.7250,1768.0000,1.199998
IO_FILL_IO_WEST_5_150,vdd,Metal1,293.7250,1748.0000,1.199998
IO_FILL_IO_WEST_5_100,vdd,Metal1,293.7250,1713.0000,1.199998
IO_FILL_IO_WEST_5_50,vdd,Metal1,293.7250,1663.0000,1.199998
IO_FILL_IO_WEST_4_170,vdd,Metal1,293.7250,1496.0000,1.199998
IO_FILL_IO_WEST_4_150,vdd,Metal1,293.7250,1476.0000,1.199998
IO_FILL_IO_WEST_4_100,vdd,Metal1,293.7250,1441.0000,1.199998
IO_FILL_IO_WEST_4_50,vdd,Metal1,293.7250,1391.0000,1.199998
IO_FILL_IO_WEST_3_170,vdd,Metal1,293.7250,1224.0000,1.199998
IO_FILL_IO_WEST_3_150,vdd,Metal1,293.7250,1204.0000,1.199998
IO_FILL_IO_WEST_3_100,vdd,Metal1,293.7250,1169.0000,1.199998
IO_FILL_IO_WEST_3_50,vdd,Metal1,293.7250,1119.0000,1.199999
IO_FILL_IO_WEST_2_170,vdd,Metal1,293.7250,952.0000,1.199999
IO_FILL_IO_WEST_2_150,vdd,Metal1,293.7250,932.0000,1.199999
IO_FILL_IO_WEST_2_100,vdd,Metal1,293.7250,897.0000,1.199999
IO_FILL_IO_WEST_2_50,vdd,Metal1,293.7250,847.0000,1.199999
IO_FILL_IO_WEST_1_170,vdd,Metal1,293.7250,680.0000,1.199999
IO_FILL_IO_WEST_1_150,vdd,Metal1,293.7250,660.0000,1.199999
IO_FILL_IO_WEST_1_100,vdd,Metal1,293.7250,625.0000,1.199999
IO_FILL_IO_WEST_1_50,vdd,Metal1,293.7250,575.0000,1.200000
IO_FILL_IO_WEST_0_0,vdd,Metal1,293.7250,345.0000,1.199999
IO_FILL_IO_WEST_1_0,vdd,Metal1,293.7250,525.0000,1.200000
IO_FILL_IO_WEST_0_50,vdd,Metal1,293.7250,395.0000,1.200000
IO_FILL_IO_WEST_2_0,vdd,Metal1,293.7250,797.0000,1.199999
IO_FILL_IO_WEST_1_190,vdd,Metal1,293.7250,691.0000,1.199999
IO_FILL_IO_WEST_3_0,vdd,Metal1,293.7250,1069.0000,1.199999
IO_FILL_IO_WEST_2_190,vdd,Metal1,293.7250,963.0000,1.199999
IO_FILL_IO_WEST_4_0,vdd,Metal1,293.7250,1341.0000,1.199998
IO_FILL_IO_WEST_3_190,vdd,Metal1,293.7250,1235.0000,1.199998
IO_FILL_IO_WEST_5_0,vdd,Metal1,293.7250,1613.0000,1.199998
IO_FILL_IO_WEST_4_190,vdd,Metal1,293.7250,1507.0000,1.199998
IO_FILL_IO_WEST_6_0,vdd,Metal1,293.7250,1885.0000,1.199998
IO_FILL_IO_WEST_5_190,vdd,Metal1,293.7250,1779.0000,1.199998
IO_FILL_IO_WEST_7_0,vdd,Metal1,293.7250,2157.0000,1.199997
IO_FILL_IO_WEST_6_190,vdd,Metal1,293.7250,2051.0000,1.199997
IO_FILL_IO_WEST_8_0,vdd,Metal1,293.7250,2429.0000,1.199997
IO_FILL_IO_WEST_7_190,vdd,Metal1,293.7250,2323.0000,1.199997
IO_FILL_IO_WEST_9_0,vdd,Metal1,293.7250,2701.0000,1.199997
IO_FILL_IO_WEST_8_190,vdd,Metal1,293.7250,2595.0000,1.199997
IO_FILL_IO_WEST_10_0,vdd,Metal1,293.7250,2973.0000,1.199996
IO_FILL_IO_WEST_9_190,vdd,Metal1,293.7250,2867.0000,1.199996
IO_FILL_IO_WEST_11_0,vdd,Metal1,293.7250,3245.0000,1.199996
IO_FILL_IO_WEST_10_190,vdd,Metal1,293.7250,3139.0000,1.199996
IO_FILL_IO_WEST_12_0,vdd,Metal1,293.7250,3517.0000,1.199995
IO_FILL_IO_WEST_11_190,vdd,Metal1,293.7250,3411.0000,1.199995
IO_FILL_IO_WEST_13_0,vdd,Metal1,293.7250,3789.0000,1.199994
IO_FILL_IO_WEST_12_190,vdd,Metal1,293.7250,3683.0000,1.199995
IO_FILL_IO_WEST_14_0,vdd,Metal1,293.7250,4061.0000,1.199993
IO_FILL_IO_WEST_13_190,vdd,Metal1,293.7250,3955.0000,1.199993
IO_FILL_IO_WEST_15_0,vdd,Metal1,293.7250,4333.0000,1.199991
IO_FILL_IO_WEST_14_190,vdd,Metal1,293.7250,4227.0000,1.199992
IO_FILL_IO_WEST_16_0,vdd,Metal1,293.7250,4605.0000,1.199988
IO_FILL_IO_WEST_15_190,vdd,Metal1,293.7250,4499.0000,1.199990
IO_FILL_IO_SOUTH_16_50,vdd,Metal1,3275.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_15_100,vdd,Metal1,3137.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_15_50,vdd,Metal1,3111.0000,293.7250,1.199998
